"soubor","maly_soubor","cas_foceni","zdroj_casu","vyrobce","model","gps_lat","gps_lon","px_sirka","px_vyska","bajtu_orig","bajtu_maly"
"2026-02-05 16.14.46.jpg","2026-02-05 16.14.46.jpg","2026-02-05 16:14:46","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","1013607","57953"
"2026-02-05 16.16.42.jpg","2026-02-05 16.16.42.jpg","2026-02-05 16:16:42","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","1031702","57111"
"2026-02-05 16.18.04.jpg","2026-02-05 16.18.04.jpg","2026-02-05 16:18:04","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","1036999","53288"
"2026-02-19 15.26.19.jpg","2026-02-19 15.26.19.jpg","2026-02-19 15:26:19","EXIF","NIKON CORPORATION","NIKON D5100","","","1222","1630","902358","93411"
"2026-02-22 12.00.56.jpg","2026-02-22 12.00.56.jpg","2026-02-22 12:00:56","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","1085738","62784"
"2026-02-25 16.05.26.jpg","2026-02-25 16.05.26.jpg","2026-02-25 16:05:26","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","1001693","51956"
"2026-03-19 15.28.43.jpg","2026-03-19 15.28.43.jpg","2026-03-19 15:28:43","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","913021","48222"
"2026-03-19 15.29.57.jpg","2026-03-19 15.29.57.jpg","2026-03-19 15:29:57","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","888901","47069"
"2026-03-19 15.31.36.jpg","2026-03-19 15.31.36.jpg","2026-03-19 15:31:36","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","849049","45590"
"2026-03-31 14.37.19.jpg","2026-03-31 14.37.19.jpg","2026-03-31 14:37:19","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","877316","48226"
"2026-04-02 14.47.57.jpg","2026-04-02 14.47.57.jpg","2026-04-02 14:47:57","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","1060308","61358"
"2026-04-02 14.49.41.jpg","2026-04-02 14.49.41.jpg","2026-04-02 14:49:41","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","1121581","63673"
"špachtlovaný barevný.jpg","špachtlovaný barevný.jpg","2026-04-03 16:28:08","EXIF","NIKON CORPORATION","NIKON D5100","","","2494","3118","464533","95746"
"2026-04-16 09.01.06.jpg","2026-04-16 09.01.06.jpg","2026-04-16 09:01:06","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","1028724","52980"
"2026-04-16 09.06.58.jpg","2026-04-16 09.06.58.jpg","2026-04-16 09:06:58","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","1144865","68165"
"2026-04-16 09.07.08.jpg","2026-04-16 09.07.08.jpg","2026-04-16 09:07:08","EXIF","NIKON CORPORATION","NIKON D5100","","","2464","1632","1210320","75351"
